,Nationalité,janvier 2017,janvier 2017,février 2017,février 2017,mars 2017,mars 2017,avril 2017,avril 2017,mai 2017,mai 2017,juin 2017,juin 2017,juillet 2017,juillet 2017,août 2017,août 2017,septembre 2017,septembre 2017,octobre 2017,octobre 2017,Total,Total
,,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits,Taux de chômage,Chômeurs inscrits
Zurich,Etrangers,6.6,15060,6.5,14787,6.3,14382,6,13572,5.7,13097,5.6,12724,5.5,12546,5.3,12151,5.3,12111,0,0,5.3,120430
Zurich,Suisses,2.9,17327,2.8,16832,2.8,16459,2.7,15970,2.6,15527,2.6,15201,2.6,15446,2.6,15363,2.5,15114,0,0,2.4,143239
Berne,Etrangers,7.5,6670,7.4,6562,7.1,6258,6.8,6004,6.2,5494,5.7,5065,5.5,4911,5.5,4913,5.5,4900,0,0,5.7,50777
Berne,Suisses,2.2,10284,2.1,10176,2.1,9777,2,9318,1.9,8903,1.8,8525,1.8,8722,1.9,8916,1.8,8758,0,0,1.8,83379
Lucerne,Etrangers,5.4,2221,5.1,2094,4.8,1969,4.6,1889,4.3,1760,4.1,1656,3.9,1591,3.9,1606,3.9,1593,0,0,4,16379
Lucerne,Suisses,1.5,2764,1.5,2714,1.4,2524,1.3,2426,1.3,2322,1.2,2228,1.3,2284,1.3,2386,1.3,2292,0,0,1.2,21940
Uri,Etrangers,6.9,175,6.4,161,5.8,148,5.3,135,4.1,104,3,75,2.7,69,2.2,57,2.1,53,0,0,3.9,977
Uri,Suisses,0.7,122,0.7,115,0.6,108,0.6,93,0.6,92,0.5,84,0.4,60,0.4,66,0.4,59,0,0,0.5,799
Schwyz,Etrangers,4.6,835,4.5,809,4.3,772,4,710,3.6,651,3.5,625,3.5,630,3.5,631,3.4,617,0,0,3.5,6280
Schwyz,Suisses,1.4,959,1.4,957,1.3,898,1.2,870,1.2,811,1.1,786,1.2,817,1.2,835,1.2,838,0,0,1.1,7771
Obwald,Etrangers,3.3,103,3.3,104,3,95,3,93,2.4,76,2.4,77,2.5,79,2,64,2.2,68,0,0,2.4,759
Obwald,Suisses,0.6,114,0.7,124,0.7,122,0.6,112,0.5,98,0.5,90,0.5,97,0.6,100,0.5,85,0,0,0.5,942
Nidwald,Etrangers,4.1,133,4,129,4.1,132,3.6,116,3.5,112,3.2,104,3,96,3,96,2.9,94,0,0,3.1,1012
Nidwald,Suisses,0.8,172,0.8,177,0.8,165,0.7,153,0.7,144,0.7,148,0.7,145,0.7,151,0.7,154,0,0,0.7,1409
Glaris,Etrangers,5.3,283,5.3,286,5.1,274,4.6,247,4.3,231,3.9,209,3.6,195,3.8,203,3.4,184,0,0,3.9,2112
Glaris,Suisses,1.7,284,1.7,290,1.6,277,1.6,270,1.5,253,1.4,232,1.3,220,1.4,232,1.4,232,0,0,1.3,2290
Zoug,Etrangers,4.5,827,4.5,832,4.4,805,4.3,791,4.2,765,4,724,4,728,3.9,712,3.9,717,0,0,3.8,6901
Zoug,Suisses,1.9,929,1.9,952,1.9,924,1.8,913,1.8,887,1.7,852,1.7,846,1.8,892,1.7,826,0,0,1.6,8021
Fribourg,Etrangers,7.2,2720,6.4,2394,5.7,2154,5.3,1981,4.7,1766,4.4,1669,4.8,1806,5.3,1984,5,1888,0,0,4.9,18362
Fribourg,Suisses,2,2495,1.9,2417,1.9,2345,1.9,2381,1.7,2215,1.8,2223,2,2566,2.1,2683,2,2578,0,0,1.7,21903
Soleure,Etrangers,6.9,2154,6.7,2095,6.3,1987,6,1900,5.8,1811,5.4,1682,5.2,1631,5.2,1631,5,1569,0,0,5.2,16460
Soleure,Suisses,2.3,2590,2.2,2507,2.1,2433,2.1,2381,2,2263,1.9,2178,2,2269,2,2322,1.9,2232,0,0,1.8,21175
